"shrinkage";"n.trees";"interaction.depth";"n.minobsinnode";"rmse";"r_squared";"mae"
0,01;2000;8;10;3,49;0,278603816669427;2,71527790508111
0,01;3000;8;10;3,5;0,282721631661479;2,69728306498434
0,02;1000;8;10;3,51;0,270906636930108;2,71124395500354
0,02;1500;8;10;3,54;0,269020502196855;2,75476596947346
0,02;1700;8;10;3,53;0,268605768679531;2,7462756168006
0,02;2000;8;10;3,56;0,265404816892754;2,73082085251625
0,02;3000;8;10;3,61;0,25099343081779;2,80361682077345
0,05;1000;8;10;3,59;0,252799762812736;2,8067279352238
0,05;1500;8;10;3,58;0,256646913193424;2,75699906240386
0,05;1700;8;10;3,62;0,252620723001519;2,81561647895063
0,05;2000;8;10;3,66;0,236247300023341;2,81428095233941
0,05;3000;8;10;3,62;0,253870078135892;2,80927362077824
0,001;1000;8;10;3,6;0,269642910610108;2,78650984890753
0,001;1500;8;10;3,54;0,27352587553438;2,73479563714481
0,001;1700;8;10;3,52;0,273114357752801;2,72715410493174
0,001;2000;8;10;3,5;0,276095949786932;2,71145646129597
0,001;3000;8;10;3,47;0,282726923588942;2,6843145047009
0,002;1000;8;10;3,5;0,278080852269079;2,71084891696581
0,002;1500;8;10;3,47;0,281623907311082;2,68804425591968
0,002;1700;8;10;3,47;0,282327822026775;2,6842766273459
0,002;2000;8;10;3,45;0,28859168705332;2,67018116196836
0,002;3000;8;10;3,45;0,285778196572978;2,67721110509675
0,005;1000;8;10;3,45;0,289123280285583;2,66702885437841
0,005;1500;8;10;3,45;0,287035632798198;2,67193204191478
0,005;1700;8;10;3,45;0,289238916330305;2,67085532493586
0,005;2000;8;10;3,45;0,288263684374022;2,67553453460596
0,005;3000;8;10;3,47;0,284222005454808;2,69164742853919
0,01;1000;10;10;3,46;0,284424262940292;2,67949990091528
0,01;1500;10;10;3,48;0,283287763462778;2,69019852549359
0,01;1700;10;10;3,47;0,285889414151513;2,68344436008999
0,01;2000;10;10;3,51;0,274380025332767;2,72491302133249
0,01;3000;10;10;3,53;0,273656332526943;2,72815225931278
0,02;1000;10;10;3,51;0,274652761578558;2,70930093621403
0,02;1500;10;10;3,55;0,262811770933803;2,75561543236619
0,02;1700;10;10;3,55;0,264589979070141;2,7508923745373
0,02;2000;10;10;3,55;0,264260157650796;2,74871602220555
0,02;3000;10;10;3,6;0,255682607591359;2,79174827791535
0,05;1000;10;10;3,64;0,244985316653834;2,80443623976941
0,05;1500;10;10;3,65;0,240700418708819;2,82710207361408
0,05;1700;10;10;3,66;0,240950422751071;2,82830892376579
0,05;2000;10;10;3,77;0,21886622441292;2,91316149842825
0,05;3000;10;10;3,68;0,238103827138395;2,86268922716353
0,001;1000;10;10;3,59;0,273499423881751;2,77707545288494
0,001;1500;10;10;3,53;0,275056590912295;2,73078817060845
0,001;1700;10;10;3,51;0,274886100613015;2,72103693620902
0,001;2000;10;10;3,49;0,278021897090629;2,70165047541138
0,001;3000;10;10;3,46;0,283134620875778;2,68341211332292
0,002;1000;10;10;3,5;0,276709556287848;2,7098726203579
